person,personLabel,genderLabel,film,filmLabel,genre,genreLabel,year
http://www.wikidata.org/entity/Q200355,Olivia Wilde,female,http://www.wikidata.org/entity/Q18954,Tron: Legacy,http://www.wikidata.org/entity/Q188473,action film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q1146335,teen film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q1146335,teen film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q1146335,teen film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q1146335,teen film,2011
http://www.wikidata.org/entity/Q37876,Natalie Portman,female,http://www.wikidata.org/entity/Q180214,Black Swan,http://www.wikidata.org/entity/Q200092,horror film,2011
http://www.wikidata.org/entity/Q37876,Natalie Portman,female,http://www.wikidata.org/entity/Q180214,Black Swan,http://www.wikidata.org/entity/Q2484376,thriller film,2011
http://www.wikidata.org/entity/Q359488,Michael Peña,male,http://www.wikidata.org/entity/Q224133,30 Minutes or Less,http://www.wikidata.org/entity/Q1200678,mystery film,2011
http://www.wikidata.org/entity/Q37876,Natalie Portman,female,http://www.wikidata.org/entity/Q180214,Black Swan,http://www.wikidata.org/entity/Q200092,horror film,2011
http://www.wikidata.org/entity/Q37876,Natalie Portman,female,http://www.wikidata.org/entity/Q180214,Black Swan,http://www.wikidata.org/entity/Q2484376,thriller film,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q122113,Super,http://www.wikidata.org/entity/Q859369,comedy drama,2011
http://www.wikidata.org/entity/Q37876,Natalie Portman,female,http://www.wikidata.org/entity/Q180214,Black Swan,http://www.wikidata.org/entity/Q130232,drama film,2011
http://www.wikidata.org/entity/Q37876,Natalie Portman,female,http://www.wikidata.org/entity/Q180214,Black Swan,http://www.wikidata.org/entity/Q130232,drama film,2011
http://www.wikidata.org/entity/Q183347,Lloyd Kaufman,male,http://www.wikidata.org/entity/Q122113,Super,http://www.wikidata.org/entity/Q157443,comedy film,2011
http://www.wikidata.org/entity/Q183347,Lloyd Kaufman,male,http://www.wikidata.org/entity/Q122113,Super,http://www.wikidata.org/entity/Q859369,comedy drama,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q122113,Super,http://www.wikidata.org/entity/Q157443,comedy film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q188473,action film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q157394,fantasy film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q188473,action film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q157394,fantasy film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q157394,fantasy film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q188473,action film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q157394,fantasy film,2011
http://www.wikidata.org/entity/Q359488,Michael Peña,male,http://www.wikidata.org/entity/Q224133,30 Minutes or Less,http://www.wikidata.org/entity/Q959790,crime film,2011
http://www.wikidata.org/entity/Q359488,Michael Peña,male,http://www.wikidata.org/entity/Q224133,30 Minutes or Less,http://www.wikidata.org/entity/Q1200678,mystery film,2011
http://www.wikidata.org/entity/Q359488,Michael Peña,male,http://www.wikidata.org/entity/Q224133,30 Minutes or Less,http://www.wikidata.org/entity/Q959790,crime film,2011
http://www.wikidata.org/entity/Q359488,Michael Peña,male,http://www.wikidata.org/entity/Q224133,30 Minutes or Less,http://www.wikidata.org/entity/Q157443,comedy film,2011
http://www.wikidata.org/entity/Q359488,Michael Peña,male,http://www.wikidata.org/entity/Q224133,30 Minutes or Less,http://www.wikidata.org/entity/Q157443,comedy film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q188473,action film,2011
http://www.wikidata.org/entity/Q223830,Danny Trejo,male,http://www.wikidata.org/entity/Q43408,A Very Harold & Kumar Christmas,http://www.wikidata.org/entity/Q157443,comedy film,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q157394,fantasy film,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q188473,action film,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q1146335,teen film,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q157394,fantasy film,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q188473,action film,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q1146335,teen film,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q157394,fantasy film,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q188473,action film,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q1146335,teen film,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q157394,fantasy film,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q188473,action film,2011
http://www.wikidata.org/entity/Q3454165,Kevin Bacon,male,http://www.wikidata.org/entity/Q223596,X-Men: First Class,http://www.wikidata.org/entity/Q1146335,teen film,2011
http://www.wikidata.org/entity/Q440910,Ken Jeong,male,http://www.wikidata.org/entity/Q232774,Transformers: Dark of the Moon,http://www.wikidata.org/entity/Q188473,action film,2011
http://www.wikidata.org/entity/Q440910,Ken Jeong,male,http://www.wikidata.org/entity/Q232774,Transformers: Dark of the Moon,http://www.wikidata.org/entity/Q188473,action film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q232774,Transformers: Dark of the Moon,http://www.wikidata.org/entity/Q188473,action film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q232774,Transformers: Dark of the Moon,http://www.wikidata.org/entity/Q188473,action film,2011
http://www.wikidata.org/entity/Q440910,Ken Jeong,male,http://www.wikidata.org/entity/Q232774,Transformers: Dark of the Moon,http://www.wikidata.org/entity/Q2484376,thriller film,2011
http://www.wikidata.org/entity/Q441913,James Remar,male,http://www.wikidata.org/entity/Q232774,Transformers: Dark of the Moon,http://www.wikidata.org/entity/Q2484376,thriller film,2011
